family,scientificName,eventDate,year,month,day,startDayOfYear,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,reproductiveCondition,decimalLatitude,decimalLongitude,minimumElevationInMeters
Ericaceae,Moneses uniflora,8/11/1942,1942,8,11,223,5% north slope; sandy soil; common in timber/meadow transition.,,,,,,flowering,38.1403,-105.703,3506
Ericaceae,Moneses uniflora,7/29/1998,1998,7,29,210,Alpine-subalpine grassland; shade of Picea.,,,,,,flowering,37.6383,-105.4936,3598
Ericaceae,Moneses uniflora,7/30/1999,1999,7,30,211,Moist Picea forest.,,,,,,fruiting,38.4304,-106.0369,3201
Ericaceae,Moneses uniflora,7/10/1998,1998,7,10,191,Riparian.,,,,,,flowering,37.8736,-105.4583,3384
Ericaceae,Moneses uniflora,7/24/1998,1998,7,24,205,Alpine slope and timberline.,,,,,,flowering,38.224,-105.7031,3232
Ericaceae,Moneses uniflora,7/31/1998,1998,7,31,212,Areas with Picea and alpine around lakes,,,,,,flowering,38.3484,-105.87,3354
Ericaceae,Moneses uniflora,8/10/1998,1998,8,10,222,Picea engelmannii and alpine.,,,,,,flowering and fruiting,37.5694,-105.5042,3598
Ericaceae,Moneses uniflora,7/24/1998,1998,7,24,205,Spruce/corkbark fir forest.,,,,,,flowering,37.3019,-105.1467,3323
Ericaceae,Moneses uniflora,8/4/1999,1999,8,4,216,Pinus aristata.,,,,,,flowering,38.2931,-106.1112,3415
Ericaceae,Moneses uniflora,8/17/1999,1999,8,17,229,"Picea engelmannii, Abies lasiocarpa.",,,,,,fruiting,37.6083,-105.475,3232
Ericaceae,Moneses uniflora,8/7/2010,2010,8,7,219,Forested subalpine riparian corridor.,,,,,,flowering,39.5259,-106.1071,3201
Ericaceae,Moneses uniflora,8/24/2010,2010,8,24,236,"Subalpine ditch, seeps, springs, wet meadows, and fen.",,,,,,flowering and fruiting,39.3631,-106.3615,3223
Ericaceae,Moneses uniflora,8/5/2011,2011,8,5,217,"Fen dominated by Betula glandulosa, willows, and peat moss.",,,,,,flowering,39.0096,-106.8613,3902
Ericaceae,Moneses uniflora,8/18/1999,1999,8,18,230,Along road.,,,,,,fruiting,38.46,-106.0159,3354
Ericaceae,Moneses uniflora,8/14/2014,2014,7,19,200,"Roadside spring producing wet ditch with running water, spruce/fir forest.",Several plants on moist bank above stream/ditch.,Flowers white.,,,,Flower,37.34491,-105.03351,3399
ERICACEAE,Moneses uniflora,8/8/1912,1912,8,8,221,,,,,,,,38.9984,-105.500278,3353
