"Family.Name","Authority","scientificName","Decimal.Latitude","Decimal.Longitude","Year","elevation","startDayOfYear","institutionCode"
"149","Crassulaceae","A. Gray","Sedum rhodanthum",NA,NA,1994,3383,249,"ASC"
"150","Asteraceae","(A. Gray) Greene","Solidago parryi",NA,NA,1994,3383,249,"ASC"
"152","Caryophyllaceae","Turcz. ex Kar. & Kir.","Stellaria umbellata",NA,NA,1994,3962,249,"ASC"
"153","Boraginaceae","Greene","Mertensia arizonica",37.88583,-107.84694,1999,3413,221,"ASC"
"154","Rosaceae","(R. Br.) Ser.","Geum rossii var. turbinatum",NA,NA,1994,3963,249,"ASC"
"155","Juncaceae","(Ehrh.) Desv.","Luzula parviflora",37.85646,-107.95301,2002,3262,192,"ASC"
"156","Scrophulariaceae","Dougl. ex Benth.","Pedicularis racemosa ssp. alba",37.85646,-107.95301,2002,3262,192,"ASC"
"157","Poaceae","Vasey","Trisetum montanum",37.85646,-107.95301,2002,3262,192,"ASC"
"158","Poaceae","(L.) Beauv.","Deschampsia caespitosa",37.85646,-107.95301,2002,3262,192,"ASC"
"159","Pinaceae","(Hook.) Nutt.","Abies lasiocarpa",37.68991,-107.562,2003,3810,206,"ASC"
"160","Asteraceae","(Hook.) Greene","Agoseris aurantiaca",37.61007,-107.32931,2003,3231,187,"ASC"
"161","Poaceae","Willd.","Agrostis scabra",37.71507,-107.56304,2003,3353,207,"ASC"
"162","Poaceae","Willd.","Agrostis scabra",37.67819,-107.55283,2003,3536,204,"ASC"
"163","Poaceae","Rydb.","Agrostis variabilis",37.69313,-107.57969,2003,3780,206,"ASC"
"164","Primulaceae","L.","Androsace septentrionalis",37.75705,-107.5817,2003,3658,208,"ASC"
"165","Apiaceae","(Coult. & Rose) Coult. & Rose","Angelica grayi",37.68991,-107.562,2003,3810,206,"ASC"
"166","Asteraceae","E. Nels.","Antennaria corymbosa",37.67989,-107.55517,2003,3567,205,"ASC"
"167","Asteraceae","Greene","Antennaria media",37.6716,-107.52278,2003,3231,189,"ASC"
"168","Caryophyllaceae","Maguire","Arenaria fendleri",37.73851,-107.57873,2003,3506,207,"ASC"
"169","Asteraceae","H.M.Hall & Clem.","Artemisia campestris ssp. borealis",37.77907,-107.55375,2003,3810,208,"ASC"
"170","Asteraceae","L.","Artemisia dracunculus",37.73168,-107.57708,2003,3353,207,"ASC"
"171","Asteraceae","Gray","Artemisia scopulorum",37.7141,-107.53455,2003,3887,190,"ASC"
"172","Scrophulariaceae","Rydb.","Besseya ritteriana",37.75238,-107.62844,2003,3780,190,"ASC"
"173","Poaceae","L.","Bromus ciliatus",37.67751,-107.52643,2003,3353,204,"ASC"
"174","Campanulaceae","L.","Campanula rotundifolia",37.69021,-107.53467,2003,3628,204,"ASC"
"175","Cyperaceae","Holm","Carex chalciolepis",37.69756,-107.53439,2003,3673,189,"ASC"
"176","Cyperaceae","Holm","Carex chalciolepis",37.70137,-107.53422,2003,3810,204,"ASC"
"177","Cyperaceae","Holm","Carex chalciolepis",37.55255,-107.0509,2003,3658,180,"ASC"
"178","Cyperaceae","Holm","Carex chalciolepis",37.55613,-107.03919,2003,3658,180,"ASC"
"179","Cyperaceae","Bailey","Carex illota",37.69297,-107.58705,2003,3780,206,"ASC"
"180","Cyperaceae","Bailey","Carex illota",37.69297,-107.58705,2003,3780,206,"ASC"
"181","Cyperaceae","Michx.","Carex lenticularis",37.67989,-107.55517,2003,3567,205,"ASC"
"182","Cyperaceae","Michx.","Carex lenticularis",37.67751,-107.52643,2003,3353,204,"ASC"
"183","Cyperaceae","Wahlenb.","Carex aquatilis",37.75912,-107.53388,2003,3810,204,"ASC"
"184","Cyperaceae","Olney","Carex athrostachya",37.79321,-107.54825,2003,3810,203,"ASC"
